City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Gewane,ET,2022-06-13 17:56:33,10.1664,40.6453,96.42,20,94,8.97
229,Yazman,PK,2022-06-13 17:56:33,29.1212,71.7446,98.26,29,2,16.37
230,Wanning,CN,2022-06-13 17:56:34,18.8003,110.3967,81.01,93,100,10.47
231,Saint-Augustin,CA,2022-06-13 17:56:35,51.226,-58.6502,64.31,52,92,8.84
232,Zhirnovsk,RU,2022-06-13 17:56:35,50.9845,44.7735,61.16,66,0,8.28
233,Saldanha,ZA,2022-06-13 17:56:37,-33.0117,17.9442,57.25,90,97,15.14
234,Rocha,UY,2022-06-13 17:56:39,-34.4833,-54.3333,61.81,60,21,7.34
235,Sept-Iles,CA,2022-06-13 17:52:01,50.2001,-66.3821,63.12,64,75,24.16
236,Rescaldina,IT,2022-06-13 17:56:40,45.6165,8.9538,90.84,41,0,8.05
237,Bonavista,CA,2022-06-13 17:56:41,48.6499,-53.1147,46.06,75,64,10.16
238,Presidencia Roque Saenz Pena,AR,2022-06-13 17:56:41,-26.7852,-60.4388,68.14,28,0,8.43
239,Saurimo,AO,2022-06-13 17:56:42,-9.6608,20.3916,68.09,33,1,3.22
240,Lorengau,PG,2022-06-13 17:56:42,-2.0226,147.2712,83.14,71,81,11.72
241,Nipawin,CA,2022-06-13 17:56:44,53.3668,-104.0009,71.64,64,0,17.27
242,Grand Gaube,MU,2022-06-13 17:56:45,-20.0064,57.6608,73.38,66,49,8.01
243,Keti Bandar,PK,2022-06-13 17:56:45,24.1447,67.4497,85.5,72,0,11.5
244,Chimbarongo,CL,2022-06-13 17:56:47,-34.7,-71.05,41.88,53,100,3.31
245,Oxford,GB,2022-06-13 17:53:59,51.7522,-1.256,68.95,50,0,3.44
246,Udachnyy,RU,2022-06-13 17:56:48,66.4167,112.4,55.45,54,16,5.28
247,Itarema,BR,2022-06-13 17:56:49,-2.9248,-39.9167,82.74,73,17,12.39
248,Bousso,TD,2022-06-13 17:56:51,10.4795,16.7117,79.36,66,94,1.36
249,San Jose,US,2022-06-13 17:53:19,37.3394,-121.895,74.84,50,0,12.66
250,Gallup,US,2022-06-13 17:56:53,35.5281,-108.7426,83.01,15,0,8.99
251,Manokwari,ID,2022-06-13 17:56:54,-0.8667,134.0833,79.83,74,39,7.47
252,Hanzhong,CN,2022-06-13 17:56:55,33.0728,107.0303,69.12,67,28,2.37
253,Dingle,PH,2022-06-13 17:56:57,10.9995,122.6711,77.25,87,100,2.57
254,Hithadhoo,MV,2022-06-13 17:57:00,-0.6,73.0833,83.3,73,46,6.15
255,Leshukonskoye,RU,2022-06-13 17:57:02,64.8989,45.7622,58.8,84,100,5.5
256,Villanueva De La Serena,ES,2022-06-13 17:57:04,38.9766,-5.7974,105.51,11,67,11.81
257,Vanavara,RU,2022-06-13 17:57:05,60.34,102.2797,54.82,92,49,3.49
258,Martigues,FR,2022-06-13 17:57:06,43.4,5.05,92.61,34,0,17.27
