City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Alofi,NU,79.07,overcast clouds,-19.06,-169.92,Taloa Heights
586,Belmonte,BR,76.64,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
589,Kamalasai,TH,84.24,overcast clouds,16.34,103.58,กาฬสินธุ์ โฮมสเตย์
592,Boyolangu,ID,75.43,light rain,-8.12,111.89,Yos ega cv
593,Morehead,US,83.86,clear sky,37.27,-87.18,CCI Express Inn
597,Oussouye,SN,78.96,overcast clouds,12.48,-16.55,Auberge du Routard
599,Bull Savanna,JM,83.17,overcast clouds,17.89,-77.59,Big Red's
603,Manoel Urbano,BR,85.87,overcast clouds,-8.84,-69.26,Baixada Beira Rio
604,Sinuknipan,PH,77.49,clear sky,13.89,122.64,Rommel Rest House
606,Sao Filipe,CV,75.0,overcast clouds,14.9,-24.5,Hotel Xaguate
607,La Maddalena,IT,82.56,scattered clouds,41.21,9.41,Camping Acapulco
609,Noumea,NC,73.0,moderate rain,-22.28,166.46,Hôtel Le Lagon
611,Asilah,MA,71.56,clear sky,35.47,-6.03,Hotel Zelis
613,Kikwit,CD,76.64,overcast clouds,-5.04,18.82,Hotel De La Vallee
614,Puerto Asis,CO,73.02,moderate rain,0.51,-76.5,Ayawaska Hostal
617,Yanam,IN,82.89,overcast clouds,16.73,82.22,The Regency Hotel
619,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
624,Galdar,ES,74.35,few clouds,28.15,-15.65,Hostel Guide
629,West Bay,KY,86.05,overcast clouds,19.37,-81.42,Calypso Cove
630,Shaunavon,CA,77.95,clear sky,49.65,-108.42,Bear's Den Lodge
632,Simoes,BR,89.74,broken clouds,-7.6,-40.82,Hotel Ponto Certo
637,Xinzhou,CN,71.92,overcast clouds,38.41,112.73,Shell Hotel - Xinzhou
638,Acari,PE,72.1,few clouds,-15.43,-74.62,HOSPEDAJE XIMENA
640,Abu Samrah,SY,83.07,clear sky,35.3,37.18,
641,Roura,GF,84.11,scattered clouds,4.73,-52.33,Amazonie Découverte SARL
643,San Ignacio,BZ,80.4,overcast clouds,17.16,-89.07,Rainforest Haven Inn
646,Umm Lajj,SA,88.05,clear sky,25.02,37.27,Moon light Furnished Units
647,Koupela,BF,84.99,overcast clouds,12.18,-0.35,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
649,Madimba,TZ,74.07,clear sky,-10.4,40.33,
650,Barra,BR,89.15,scattered clouds,-11.09,-43.14,Pousada Bahia
651,Kabalo,CD,79.11,few clouds,-6.05,26.92,
653,Carbonia,IT,79.45,few clouds,39.17,8.52,Lu 'Hotel
658,Howard Springs,AU,71.51,clear sky,-12.5,131.05,buffalo beach hostel
